Year,Period,Consumer Price Index,Over-the-Year Percent Change,CPI_MOM,Dates
1913,January,9.8,0.00%,0.00%,01-01-1913
1913,February,9.8,0.00%,0.00%,01-02-1913
1913,March,9.8,0.00%,0.00%,01-03-1913
1913,April,9.8,0.00%,0.00%,01-04-1913
1913,May,9.7,0.00%,-1.00%,01-05-1913
1913,June,9.8,0.00%,1.00%,01-06-1913
1913,July,9.9,0.00%,1.00%,01-07-1913
1913,August,9.9,0.00%,0.00%,01-08-1913
1913,September,10,0.00%,1.00%,01-09-1913
1913,October,10,0.00%,0.00%,01-10-1913
1913,November,10.1,0.00%,1.00%,01-11-1913
1913,December,10,0.00%,-1.00%,01-12-1913
1914,January,10,2.00%,0.00%,01-01-1914
1914,February,9.9,1.00%,-1.00%,01-02-1914
1914,March,9.9,1.00%,0.00%,01-03-1914
1914,April,9.8,0.00%,-1.00%,01-04-1914
1914,May,9.9,2.10%,1.00%,01-05-1914
1914,June,9.9,1.00%,0.00%,01-06-1914
1914,July,10,1.00%,1.00%,01-07-1914
1914,August,10.2,3.00%,2.00%,01-08-1914
1914,September,10.2,2.00%,0.00%,01-09-1914
1914,October,10.1,1.00%,-1.00%,01-10-1914
1914,November,10.2,1.00%,1.00%,01-11-1914
1914,December,10.1,1.00%,-1.00%,01-12-1914
1915,January,10.1,1.00%,0.00%,01-01-1915
1915,February,10,1.00%,-1.00%,01-02-1915
1915,March,9.9,0.00%,-1.00%,01-03-1915
1915,April,10,2.00%,1.00%,01-04-1915
1915,May,10.1,2.00%,1.00%,01-05-1915
1915,June,10.1,2.00%,0.00%,01-06-1915
1915,July,10.1,1.00%,0.00%,01-07-1915
1915,August,10.1,-1.00%,0.00%,01-08-1915
1915,September,10.1,-1.00%,0.00%,01-09-1915
1915,October,10.2,1.00%,1.00%,01-10-1915
1915,November,10.3,1.00%,1.00%,01-11-1915
1915,December,10.3,2.00%,0.00%,01-12-1915
1916,January,10.4,3.00%,1.00%,01-01-1916
1916,February,10.4,4.00%,0.00%,01-02-1916
1916,March,10.5,6.10%,1.00%,01-03-1916
1916,April,10.6,6.00%,1.00%,01-04-1916
1916,May,10.7,5.90%,0.90%,01-05-1916
1916,June,10.8,6.90%,0.90%,01-06-1916
1916,July,10.8,6.90%,0.00%,01-07-1916
1916,August,10.9,7.90%,0.90%,01-08-1916
1916,September,11.1,9.90%,1.80%,01-09-1916
1916,October,11.3,10.80%,1.80%,01-10-1916
1916,November,11.5,11.70%,1.80%,01-11-1916
1916,December,11.6,12.60%,0.90%,01-12-1916
1917,January,11.7,12.50%,0.90%,01-01-1917
1917,February,12,15.40%,2.60%,01-02-1917
1917,March,12,14.30%,0.00%,01-03-1917
1917,April,12.6,18.90%,5.00%,01-04-1917
1917,May,12.8,19.60%,1.60%,01-05-1917
1917,June,13,20.40%,1.60%,01-06-1917
1917,July,12.8,18.50%,-1.50%,01-07-1917
1917,August,13,19.30%,1.60%,01-08-1917
1917,September,13.3,19.80%,2.30%,01-09-1917
1917,October,13.5,19.50%,1.50%,01-10-1917
1917,November,13.5,17.40%,0.00%,01-11-1917
1917,December,13.7,18.10%,1.50%,01-12-1917
1918,January,14,19.70%,2.20%,01-01-1918
1918,February,14.1,17.50%,0.70%,01-02-1918
1918,March,14,16.70%,-0.70%,01-03-1918
1918,April,14.2,12.70%,1.40%,01-04-1918
1918,May,14.5,13.30%,2.10%,01-05-1918
1918,June,14.7,13.10%,1.40%,01-06-1918
1918,July,15.1,18.00%,2.70%,01-07-1918
1918,August,15.4,18.50%,2.00%,01-08-1918
1918,September,15.7,18.00%,1.90%,01-09-1918
1918,October,16,18.50%,1.90%,01-10-1918
1918,November,16.3,20.70%,1.90%,01-11-1918
1918,December,16.5,20.40%,1.20%,01-12-1918
1919,January,16.5,17.90%,0.00%,01-01-1919
1919,February,16.2,14.90%,-1.80%,01-02-1919
1919,March,16.4,17.10%,1.20%,01-03-1919
1919,April,16.7,17.60%,1.80%,01-04-1919
1919,May,16.9,16.60%,1.20%,01-05-1919
1919,June,16.9,15.00%,0.00%,01-06-1919
1919,July,17.4,15.20%,3.00%,01-07-1919
1919,August,17.7,14.90%,1.70%,01-08-1919
1919,September,17.8,13.40%,0.60%,01-09-1919
1919,October,18.1,13.10%,1.70%,01-10-1919
1919,November,18.5,13.50%,2.20%,01-11-1919
1919,December,18.9,14.50%,2.20%,01-12-1919
1920,January,19.3,17.00%,2.10%,01-01-1920
1920,February,19.5,20.40%,1.00%,01-02-1920
1920,March,19.7,20.10%,1.00%,01-03-1920
1920,April,20.3,21.60%,3.00%,01-04-1920
1920,May,20.6,21.90%,1.50%,01-05-1920
1920,June,20.9,23.70%,1.50%,01-06-1920
1920,July,20.8,19.50%,-0.50%,01-07-1920
1920,August,20.3,14.70%,-2.40%,01-08-1920
1920,September,20,12.40%,-1.50%,01-09-1920
1920,October,19.9,9.90%,-0.50%,01-10-1920
1920,November,19.8,7.00%,-0.50%,01-11-1920
1920,December,19.4,2.60%,-2.00%,01-12-1920
1921,January,19,-1.60%,-2.10%,01-01-1921
1921,February,18.4,-5.60%,-3.20%,01-02-1921
1921,March,18.3,-7.10%,-0.50%,01-03-1921
1921,April,18.1,-10.80%,-1.10%,01-04-1921
1921,May,17.7,-14.10%,-2.20%,01-05-1921
1921,June,17.6,-15.80%,-0.60%,01-06-1921
1921,July,17.7,-14.90%,0.60%,01-07-1921
1921,August,17.7,-12.80%,0.00%,01-08-1921
1921,September,17.5,-12.50%,-1.10%,01-09-1921
1921,October,17.5,-12.10%,0.00%,01-10-1921
1921,November,17.4,-12.10%,-0.60%,01-11-1921
1921,December,17.3,-10.80%,-0.60%,01-12-1921
1922,January,16.9,-11.10%,-2.30%,01-01-1922
1922,February,16.9,-8.20%,0.00%,01-02-1922
1922,March,16.7,-8.70%,-1.20%,01-03-1922
1922,April,16.7,-7.70%,0.00%,01-04-1922
1922,May,16.7,-5.60%,0.00%,01-05-1922
1922,June,16.7,-5.10%,0.00%,01-06-1922
1922,July,16.8,-5.10%,0.60%,01-07-1922
1922,August,16.6,-6.20%,-1.20%,01-08-1922
1922,September,16.6,-5.10%,0.00%,01-09-1922
1922,October,16.7,-4.60%,0.60%,01-10-1922
1922,November,16.8,-3.40%,0.60%,01-11-1922
1922,December,16.9,-2.30%,0.60%,01-12-1922
1923,January,16.8,-0.60%,-0.60%,01-01-1923
1923,February,16.8,-0.60%,0.00%,01-02-1923
1923,March,16.8,0.60%,0.00%,01-03-1923
1923,April,16.9,1.20%,0.60%,01-04-1923
1923,May,16.9,1.20%,0.00%,01-05-1923
1923,June,17,1.80%,0.60%,01-06-1923
1923,July,17.2,2.40%,1.20%,01-07-1923
1923,August,17.1,3.00%,-0.60%,01-08-1923
1923,September,17.2,3.60%,0.60%,01-09-1923
1923,October,17.3,3.60%,0.60%,01-10-1923
1923,November,17.3,3.00%,0.00%,01-11-1923
1923,December,17.3,2.40%,0.00%,01-12-1923
1924,January,17.3,3.00%,0.00%,01-01-1924
1924,February,17.2,2.40%,-0.60%,01-02-1924
1924,March,17.1,1.80%,-0.60%,01-03-1924
1924,April,17,0.60%,-0.60%,01-04-1924
1924,May,17,0.60%,0.00%,01-05-1924
